suspect_service,observed_in_exact_final_C002_source,current_disposition,evidence_status,note
"dynamic allocation",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"Do not infer reliance from Python implementation class alone"
"Python object identity",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"Reconstruction uses explicit byte state but is not source-equivalent"
"dict/list/set ordering or membership semantics",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"arbitrary-width integers",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"automatic lifetime/reference handling",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"exception control flow",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"strings/labels",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"host file I/O",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"collection mutation semantics",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"implicit memory safety",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"implicit atomicity",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"host scheduling/timing",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"interpreter stack/continuation",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"default initialization",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
"serialization/conversion helpers",UNKNOWN,UNKNOWN,SOURCE_UNRECOVERED,"No exact source contact"
